second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
125;6;9;13;0,484848499;0,393939406;0,531328499;0,451284707;0,05347;1326;0,546029508;0,465917081;13;0;0;0;1
125;10;6;9;0,272727281;0,272727281;0,248502806;0,248502806;0,02944;684;0,240337312;0,240337312;0;0;9;0;1
125;6;7;3;0,484848499;0,090909094;0,531328499;0,080043793;0,00948;228;0,546029508;0,080112435;0;0;3;0;1
125;7;0;8;0,24242425;0,24242425;0,22016871;0,22016871;0,02608;608;0,213633165;0,213633165;0;0;8;0;1
128;2;3;27;1;1;1;1;0,1116;2754;1;1;27;0;0;0;1
129;3;12;30;1;1;1;1;3,06483;2910;1;1;30;0;0;0;1
132;8;11;12;1;1;1;1;0,04932;1224;1;1;12;0;0;0;1
134;11;12;30;0,810810804;0,810810804;0,95774132;0,95774132;0,51631;2910;0,845438719;0,845438719;30;0;0;0;1
134;4;3;7;0,189189196;0,189189196;0,042258702;0,042258702;0,02278;532;0,154561296;0,154561296;0;0;7;0;1
135;3;2;5;0,087719299;0,087719299;0,0087126;0,0087126;0,0161;380;0,076582022;0,076582022;0;0;5;0;1
135;2;0;22;0,3859649;0,3859649;0,03930993;0,03930993;0,07263;1672;0,336960912;0,336960912;0;0;22;0;1
135;4;12;30;0,526315808;0,526315808;0,951977491;0,951977491;1,75894;2910;0,586457074;0,586457074;30;0;0;0;1
137;8;12;30;1;1;1;1;2,40794;2910;1;1;30;0;0;0;1
139;1;4;30;0,340909094;0,340909094;0,34144035;0,34144035;0,09918;2280;0,340909094;0,340909094;0;0;30;0;1
139;4;3;30;0,340909094;0,340909094;0,341545403;0,341545403;0,09921;2280;0,340909094;0,340909094;0;0;30;0;1
139;3;2;6;0,06818182;0,06818182;0,06686978;0,06686978;0,01942;456;0,06818182;0,06818182;0;0;6;0;1
139;2;0;22;0,25;0,25;0,250144452;0,250144452;0,07266;1672;0,25;0,25;0;0;22;0;1
142;8;11;20;1;1;1;1;0,08252;2040;1;1;20;0;0;0;1
144;8;11;14;0,699999988;0,699999988;0,702380955;0,702380955;0,05762;1428;0,699999988;0,699999988;14;0;0;0;1
144;9;6;6;0,300000012;0,300000012;0,297619045;0,297619045;0,02441;612;0,300000012;0,300000012;6;0;0;0;1
145;8;10;24;0,5;0,5;0,502856612;0,502856612;0,07924;1824;0,5;0,5;0;0;24;0;1
145;10;6;15;0,3125;0,3125;0,313450187;0,313450187;0,04939;1140;0,3125;0,3125;0;0;15;0;1
145;6;7;2;0,041666668;0,041666668;0,039120752;0,039120752;0,00616;152;0,041666668;0,041666668;0;0;2;0;1
145;7;0;7;0,145833328;0,145833328;0,144572482;0,144572482;0,02278;532;0,145833328;0,145833328;0;0;7;0;1
147;5;12;30;1;1;1;1;0,52472;2910;1;1;30;0;0;0;1
148;8;11;16;0,71875;0,25;0,993485808;0,005880348;0,05266;1216;0,75100112;0,221332356;0;0;16;0;1
148;11;6;7;0,109375;0,109375;0,002542301;0,002542301;0,02277;532;0,096832909;0,096832909;0;0;7;0;1
148;6;7;4;0,0625;0,0625;0,00142621;0,00142621;0,01277;304;0,055333089;0,055333089;0;0;4;0;1
148;7;0;7;0,109375;0,109375;0,002545709;0,002545709;0,0228;532;0,096832909;0,096832909;0;0;7;0;1
148;8;12;30;0,71875;0,46875;0,993485808;0,987605453;8,84393;2910;0,75100112;0,529668748;30;0;0;0;1
157;8;12;30;1;1;1;1;4,63141;2910;1;1;30;0;0;0;1
162;11;10;14;1;1;1;1;0,0576;1428;1;1;14;0;0;0;1
168;5;4;21;1;1;1;1;0,08673;2142;1;1;21;0;0;0;1
172;7;9;15;0,365853667;0,365853667;0,354088336;0,354088336;0,06178;1530;0,377591312;0,377591312;15;0;0;0;1
172;8;12;26;0,634146333;0,634146333;0,645911694;0,645911694;0,1127;2522;0,622408688;0,622408688;26;0;0;0;1
173;8;12;4;1;1;1;1;24,45729;388;1;1;4;0;0;0;1
197;1;8;31;1;1;1;1;0,12817;3162;1;1;31;0;0;0;1
198;7;12;30;0,5;1;0,104142904;1;0,3232;2910;0,5;1;30;0;0;0;1
198;8;12;30;0,5;1;0,895857096;1;2,7802;2910;0,5;1;30;0;0;0;1
201;1;8;26;0,590909064;0,590909064;0,591348171;0,591348171;0,10742;2652;0,590909064;0,590909064;26;0;0;0;1
201;4;1;18;0,409090906;0,409090906;0,408651829;0,408651829;0,07423;1836;0,409090906;0,409090906;18;0;0;0;1
202;1;8;31;1;1;1;1;0,12817;3162;1;1;31;0;0;0;1
204;10;6;11;1;1;1;1;0,03654;836;1;1;0;0;11;0;1
205;10;6;9;1;1;1;1;0,02942;684;1;1;0;0;9;0;1
206;10;12;17;1;1;1;1;0,07368;1649;1;1;17;0;0;0;1
207;10;12;13;1;1;1;1;4,62387;1261;1;1;13;0;0;0;1
211;1;8;22;1;1;1;1;0,09085;2244;1;1;22;0;0;0;1
212;1;4;24;0,222222224;0,222222224;0,021670911;0,021670911;0,07935;1824;0,20638153;0,20638153;0;0;24;0;1
212;4;3;29;0,268518507;0,268518507;0,026188461;0,026188461;0,09589;2204;0,249377683;0,249377683;0;0;29;0;1
212;3;2;4;0,037037037;0,037037037;0,003496518;0,003496518;0,0128;304;0,034396924;0,034396924;0;0;4;0;1
212;2;0;21;0,194444448;0,194444448;0,018932875;0,018932875;0,06932;1596;0,18058385;0,18058385;0;0;21;0;1
212;6;12;30;0,277777791;0,277777791;0,929711223;0,929711223;3,40404;2910;0,329260021;0,329260021;30;0;0;0;1
215;1;12;14;1;1;1;1;0,06065;1358;1;1;14;0;0;0;1
216;1;12;16;1;1;1;1;1,8109;1552;1;1;16;0;0;0;1
217;1;8;8;0,210526317;0,210526317;0,20835872;0,20835872;0,02609;608;0,210526317;0,210526317;0;0;8;0;1
217;8;11;30;0,789473712;0,789473712;0,791641295;0,791641295;0,09914;2280;0,789473712;0,789473712;0;0;30;0;1
218;11;6;7;0,411764711;0,411764711;0,413381457;0,413381457;0,02272;532;0,411764711;0,411764711;0;0;7;0;1
218;6;7;3;0,176470593;0,176470593;0,172681838;0,172681838;0,00949;228;0,176470593;0,176470593;0;0;3;0;1
218;7;0;7;0,411764711;0,411764711;0,413936704;0,413936704;0,02275;532;0,411764711;0,411764711;0;0;7;0;1
220;1;12;30;1;1;1;1;4,23311;2910;1;1;30;0;0;0;1
224;11;12;30;1;1;1;1;5,39886;2910;1;1;30;0;0;0;1
229;2;12;12;1;1;1;1;0,052;1164;1;1;12;0;0;0;1
230;2;12;18;1;1;1;1;1,37077;1746;1;1;18;0;0;0;1
231;9;12;30;1;1;1;1;1,2265;2910;1;1;30;0;0;0;1
232;1;12;30;1;1;1;1;6,2164;2910;1;1;30;0;0;0;1
238;10;11;9;1;1;1;1;0,03687;918;1;1;9;0;0;0;1
244;4;12;8;1;1;1;1;0,03467;776;1;1;8;0;0;0;1
245;4;12;22;1;1;1;1;3,40352;2134;1;1;22;0;0;0;1
248;5;11;17;1;1;1;1;0,07007;1734;1;1;17;0;0;0;1
251;8;12;30;1;1;1;1;3,35341;2910;1;1;30;0;0;0;1
254;0;12;30;1;1;1;1;3,12474;2910;1;1;30;0;0;0;1
257;7;0;3;1;1;1;1;0,00949;228;1;1;0;0;3;0;1
260;2;0;59;0,662921369;0,662921369;0,67121917;0,67121917;0,16348;4484;0,606437624;0,606437624;0;0;59;0;1
